Clavero,Código tarea std,Descripción componente,DEFINICION,Std Tasks Codes,Equipment description,DEFINITION,Fecha
FRE0111,FRE0111T79,Panel Tercer carril,Denuncias de fallos en el funcionamiento del Panel de control Tercer carril sin encontrar anomalía despues de la revision y comprobacion pertinente.,FRE0111T79,3rd rail control panel,Reports of failures in the functionality of the 3rd rail control panel without finding an anomaly after the relevant inspection and check.,
FRE011101,FRE011101T62,    Toma manométrica,Sustitución y desecho de Toma manometrica en Panel de control patin tercer carril por falta de funcionalidad,FRE011101T62,Pressure test point,Replacement and disposal of the pressure gauge connection on the third rail shoe panel due to lack of functionality,
FRE011101,FRE011101T70,    Toma manométrica,"Reparación o sustitución de elementos de la Toma manometrica Panel Tercer carril como juntas, muelles, racor enchufable, sujeción, etc…  
Se incluye limpieza o engrase de toma manometrica   ",FRE011101T70,Pressure test point,"Repair or replacement of elements of the pressure test point on the third rail shoe panel such as joints, springs, plug-in fitting and fixing, etc...
Includes cleaning and lubrication of the pressure test point   ",
FRE011102,FRE011102T71,    Llave de aislamiento,Sustitución y reparación posterior de Llave de aislamiento en Panel de control patin tercer carril  ,FRE011102T71,Insulation switch,Replacement and subsequent repair of the isolation valve on the third rail shoe control panel  ,
FRE011103,FRE011103T70,    Electroválvula,"Reparación o sustitución de elementos pertenecientes a Electroválvulas en Panel Tercer carril como finales de carrera, juntas, muelles, sujeciones, cableado interno, bobina, etc…  Se incluyen limpieza o engrase de elementos de Electroválvula",FRE011103T70,Electrovalve,"Repair or replacement of elements belonging to the solenoid valves on the third rail shoe panel, such as limit switches, joints, springs, fixings, internal wiring, coil, etc...  Includes cleaning or lubrication of solenoid valve elements",
FRE011103,FRE011103T71,    Electroválvula,Sustitución y reparación posterior de Electroválvulas en el Panel de control patin tercer carril,FRE011103T71,Electrovalve,Replacement and subsequent repair of the solenoid valves on the third rail shoe control panel,
FRE011104,FRE011104T70,    Filtro de partículas,"Reparación o sustitución de elementos pertenecientes a Filtros de particulas en Panel de control patin tercer carril como juntas, resortes, elemento filtrante, etc…  
Se incluyen limpieza o engrase de elementos en Filtros",FRE011104T70,Particles filter,"Repair or replacement of elements belonging to the particulate filter on the third rail shoe control panel such as joints, springs, filter element, etc...
Includes cleaning or lubrication of filter elements",
FRE011104,FRE011104T71,    Filtro de partículas,Sustitución y reparación posterior de Filtros de particulas en Panel de control patin tercer carril,FRE011104T71,Particles filter,Replacement and subsequent repair of the particulate filter on the third rail shoe control panel,
FRE011105,FRE011105T70,    Aparellaje eléctrico,"Reparación o sustitución de cableado, conectores, regletas, sujeciones, pines, etc… internos en Panel de control patin tercer carril",FRE011105T70,Electrical gear,"Repair or replacement of internal wiring, connectors, terminal blocks, fixings, pins, etc... on the third rail shoe control panel",
FRE011106,FRE011106T71,Válvula antirretorno,Sustitución y reparación posterior de Válvulas antirretorno en el Panel de control patin tercer carril,FRE011106T71,Checkvalve,Replacement and subsequent repair of the non-return valve on the third rail shoe control panel,2023-06-22 00:00:00
FRE011107,FRE011107T16,Válvula de Seguridad,Regulación de tarado de Válvula de Seguridad de presión en Panel de control patin tercer carril,FRE011107T16,Safety valve,Adjustment of setting of Safety valve pressure on the third rail shoe control panel,2023-06-22 00:00:00
FRE011107,FRE011107T62,Válvula de Seguridad,Sustitución y desecho de Válvula de Seguridad en Panel de control patin tercer carril por falta de funcionalidad,FRE011107T62,Safety valve,Replacement and disposal of the Safety valve connection on the third rail shoe panel due to lack of functionality,2023-06-22 00:00:00
FRE011107,FRE011107T71,Válvula de Seguridad,Sustitución y reparación posterior de Válvula de Seguridad en el Panel de control patin tercer carril,FRE011107T71,Safety valve,Replacement and subsequent repair of the Safety valve on the third rail shoe control panel,2023-06-22 00:00:00
FRE011108,FRE011108T16,Distensor/Regulador de presión,Regulación de tarado de Distensor/Regulador de presión en Panel de control patin tercer carril,FRE011108T16,Pressure regulator,Adjustment of setting of Safety valve pressure on the third rail shoe control panel,2023-06-22 00:00:00
FRE011108,FRE011108T62,Distensor/Regulador de presión,Sustitución y desecho de Distensor/Regulador de presión en Panel de control patin tercer carril por falta de funcionalidad,FRE011108T62,Pressure regulator,Replacement and disposal of the Pressure regulator on the third rail shoe panel due to lack of functionality,2023-06-22 00:00:00
FRE011108,FRE011108T71,Distensor/Regulador de presión,Sustitución y reparación posterior de Distensor/Regulador de presión en el Panel de control patin tercer carril,FRE011108T71,Pressure regulator,Replacement and subsequent repair of the Pressure regulator on the third rail shoe control panel,2023-06-22 00:00:00
FRE011109,FRE011109T16,Presostato,Regulación de tarado de Presostato de presión en Panel de control patin tercer carril,FRE011109T16,Pressure switch,Adjustment of setting of Pressure switch on the third rail shoe control panel,2023-06-22 00:00:00
FRE011109,FRE011109T62,Presostato,Sustitución y desecho de Presostato en Panel de control patin tercer carril por falta de funcionalidad,FRE011109T62,Pressure switch,Replacement and disposal of the Pressure switch on the third rail shoe panel due to lack of functionality,2023-06-22 00:00:00
FRE011109,FRE011109T71,Presostato,Sustitución y reparación posterior de Válvulas antirretorno en el Panel de control patin tercer carril,FRE011109T71,Pressure switch,Replacement and subsequent repair of the Pressure switch on the third rail shoe control panel,2023-06-22 00:00:00
FRE011110,FRE011110T70,Depósito auxiliar,"Sustitución y reparación de elementos pertenecientes a Depósitos auxiliares internos o externos al Panel de control patin tercer carril como juntas, bridas de sujeción y tornillería  
Se incluyen Depósitos de control o referencia",FRE011110T70,Auxiliary tank,"Replacement and repair of elements belonging to the internal or external third rail shoe control panel Auxiliary tank such as joints, clamps and fasteners
Includes control or reference reservoirs",2023-06-22 00:00:00
FRE011110,FRE011110T71,Depósito auxiliar,Sustitución y reparación posterior de Depósito auxiliar en el Panel de control patin tercer carril,FRE011110T71,Auxiliary tank,Replacement and subsequent repair of the third rail shoe control panel Auxiliary tank,2023-06-22 00:00:00
FRE0112,FRE0112T70,Panel freno electromagnético,"Reparación o sustitución de elementos pertenecientes al Panel de control patin de freno electromagnetico y que no estén definidos en las claves subsiguientes  reparaciones mecánicas de elementos como tapas, juntas, cierres, sujeciones, etc…  
Se incluyen limpieza o engrase de elementos de Electroválvula",FRE0112T70,Electromagnetic brake control panel,"Repair or replacement of elements belonging to the electromagnetic brake shoe control panel and that are not defined in the subsequent codes  Mechanical repairs of elements such as covers, joints, seals, fixings, etc... 
Includes cleaning and lubrication of the solenoid valve elements",
FRE0112,FRE0112T79,Panel freno electromagnético,Denuncias de fallos en el funcionamiento del Panel de control de freno electromagnético sin encontrar anomalía despues de la revision y comprobacion pertinente.,FRE0112T79,Electromagnetic brake control panel,Reports of failures in the functionality of the 3rd rail control panel without finding an anomaly after the relevant inspection and check.,
FRE011201,FRE011201T62,    Toma manométrica,Sustitución y desecho de Toma manometrica en Panel de control patin de freno electromagnetico por no ser reparable,FRE011201T62,Pressure test point,Replacement and disposal of the pressure gauge connection on the electromagnetic brake shoe panel that is beyond repair,
FRE011201,FRE011201T70,    Toma manométrica,"Reparación o sustitución de elementos de la Toma manometrica como juntas, muelles, racor enchufable y sujeción, etc…  
Se incluyen limpieza o engrase de elementos en Toma manometrica",FRE011201T70,Pressure test point,"Repair or replacement of elements of the pressure test point such as joints, springs, plug-in fitting and fixing, etc... 
Includes cleaning and lubrication of elements on the pressure test point",
FRE011202,FRE011202T71,    Llave de aislamiento,Sustitución y reparación posterior de Llave de aislamiento en Panel de control patin de freno electromagnetico  ,FRE011202T71,Insulation switch,Replacement and subsequent repair of the isolation valve on the electromagnetic brake shoe control panel  ,
FRE011203,FRE011203T70,    Electroválvula,"Reparación o sustitución de elementos pertenecientes a Electroválvulas en Panel de control patin de freno electromagnetico como finales de carrera, juntas, muelles, sujeciones, cableado interno, bobina, etc…  
Se incluyen limpieza o engrase de elementos de Electroválvula",FRE011203T70,Electrovalve,"Repair or replacement of elements belonging to the solenoid valves on the electromagnetic brake shoe control panel, such as limit switches, joints, springs, fixings, internal wiring, coil, etc...
Includes cleaning or lubrication of solenoid valve elements",
FRE011203,FRE011203T71,    Electroválvula,Sustitución y reparación posterior de Electroválvulas en el Panel de control patin de freno electromagnetico,FRE011203T71,Electrovalve,Replacement and subsequent repair of the solenoid valves on the electromagnetic brake shoe control panel,
FRE011204,FRE011204T71,    Válvula antiretorno,Sustitución y reparación posterior de Válvula antiretorno en Panel de control patin de freno electromagnetico,FRE011204T71,Checkvalve,Replacement and subsequent repair of the non-return valve on the electromagnetic brake shoe control panel,
FRE011205,FRE011205T70,    Aparellaje eléctrico,"Reparación o sustitución de cableado, conectores, regletas, sujeciones, pines, etcinternos en Panel de control patin de freno electromagnetico",FRE011205T70,Electrical gear,"Repair or replacement of internal wiring, connectors, terminal blocks, fixings, pins, etc... on the electromagnetic brake shoe control panel",
FRE011206,FRE011206T16,    Presostato,Regulación de tarado de Presostato en Panel de control patin de freno electromagnetico,FRE011206T16,Pressure switch,Adjustment of the setting of the pressure switch on the electromagnetic brake shoe control panel,
FRE011206,FRE011206T62,    Presostato,Sustitución de Presostatos en Panel de control patin de freno electromagnetico por no ser reparable,FRE011206T62,Pressure switch,Replacement of pressure switches on the electromagnetic brake shoe control panel that are beyond repair,
FRE011206,FRE011206T71,    Presostato,Sustitución y reparación posterior de Presostatos en Panel de control patin de freno electromagnético,FRE011206T71,Pressure switch,Replacement and subsequent repair of the pressure switches valve on the electromagnetic brake shoe control panel,
FRE011207,FRE011207T71,    Válvula pilotada neumáticamente,Sustitución y reparación posterior de válvula pilotada neumáticamente en Panel de control patin freno electromagnetico,FRE011207T71,Pneumatically driven valve,Replacement and subsequent repair of the pneumatically controlled valve on the electromagnetic brake shoe control panel,
FRE011208,FRE011208T70,    Depósito Auxiliar,"Sustitución y reparación de elementos pertenecientes a Depósitos auxiliares internos o externos al Panel de control patin de freno electromagnetico de accionamiento neumático como juntas, bridas de sujeción y tornillería  ",FRE011208T70,Auxiliary tank,"Replacement and repair of elements belonging to the  auxiliary reservoirs internal or external to the pneumatically actuated electromagnetic brake shoe control panel such as joints, clamps and fasteners  ",
FRE011208,FRE011208T71,    Depósito Auxiliar,Sustitución y reparación posterior de Depósitos auxiliares internos o externos al panel,FRE011208T71,Auxiliary tank,"Replacement and subsequent repair of auxiliary reservoirs, internal or external to the panel",
FRE011209,FRE011209T16,    Distensor / Regulador de presión,Regulación de tarado de Distensores o Reguladores de presión en Panel de control patin de freno electromagnetico,FRE011209T16,Pressure regulator,Adjustment of the setting of pressure reducing valves or pressure regulators on the electromagnetic brake shoe control panel,
FRE011209,FRE011209T71,    Distensor / Regulador de presión,Sustitución y reparación posterior de Distensores o Reguladores de presión en Panel de control patin de freno electromagnetico,FRE011209T71,Pressure regulator,Replacement and subsequent repair of pressure reducing valves or pressure regulators on the electromagnetic brake shoe control panel,
FRE0113,FRE0113T79,Panel eje libre,Denuncias de fallos en el funcionamiento del Panel eje libre sin encontrar anomalía despues de la revision y comprobacion pertinente.,FRE0113T79,Free axle panel,Reports of failures in the functionality of the Free axle panel without finding an anomaly after the relevant inspection and check.,2023-06-23 00:00:00
FRE011301,FRE011301T70,Conjunto panel auxiliar eje libre  ,"Reparación o sustitución de elementos pertenecientes al Panel eje libre y que no estén definidos en las claves subsiguientes  reparaciones mecánicas de elementos como tapas, juntas, cierres, sujeciones, etc…  ",FRE011301T70,Set auxiliary panel free axis,"Repair or replacement of elements belonging to the Free axle panel and that are not defined in the subsequent codes  Mechanical repairs of elements such as covers, joints, seals, fixings, etc... ",2023-06-23 00:00:00
FRE011302,FRE011302T16,Presostato panel auxiliar,Regulación de tarado de Presostato en Panel eje libre,FRE011302T16,Auxiliar pannel pressure switch,Adjustment of the setting of the pressure switch on the Free axle panel,2023-06-23 00:00:00
FRE011302,FRE011302T70,Presostato panel auxiliar,Sustitución de Presostatos en Panel eje libre por no ser reparable,FRE011302T70,Auxiliar pannel pressure switch,Replacement of pressure switches on the Free axle panell that are beyond repair,2023-06-23 00:00:00
FRE011302,FRE011302T71,Presostato panel auxiliar,Sustitución y reparación posterior de Presostatos en Panel eje libre,FRE011302T71,Auxiliar pannel pressure switch,Replacement and subsequent repair of the pressure switches valve on the Free axle panel,2023-06-23 00:00:00
FRE03,FRE03T79,Freno hidráulico,"Denuncias de fallos en el sistema de freno hadraulico del tren como frenadas de urgencia sin causa justificada, fallos en autotest de freno, etc... sin encontrar anomalía despues de la revision y comprobacion pertinente de elementos como Bomba hidráulica (HPU), Depósitos de aceite/acumulador, Presostato de seguridad, Válvula de regulación, Tubería circuito de servicio, Tubería circuito de asistencia, Juntas y racores hidráulicos, Control de freno hidráulico(Valvulería), Sensor de peso, Aparellaje eléctrico interno y los elementos que componen el Freno hidráulico en disco hidráulico.",FRE03T79,Hydraulic brake,"Reports of failures in the train's hydraulic braking system such as emergency braking without a justified cause, failures in the braking self-test, etc... without finding an anomaly after the relevant inspection and check of parts such as Hydraulic pump (HPU), Oil tanks/reservoir, Safety pressure switch, Regulation valve, Service circuit piping, Assistance circuit piping, Seals and hydraulic fittings, Hydraulic brake control (Valves), Weight sensor, internal Electrical gear and all the elements of Disk hydraulic brake .",
FRE0301,FRE0301T70,"Bomba hidráulica
HPU","Reparación o sustitución de elementos pertenecientes a la Bomba hidráulica de la HPU como motor, cuerpo de bomba, escobillas de motor, etc…  ",FRE0301T70,"Hydraulic pump
HPU","Repair or replacement of elements belonging to the HPU hydraulic pump such as the motor, pump body, motor brushes, etc...  ",2023-06-23 00:00:00
FRE0301,FRE0301T71,"Bomba hidráulica
HPU",Sustitución y reparación posterior Bomba hidráulica de HPU,FRE0301T71,"Hydraulic pump
HPU",Replacement and subsequent repair of the HPU hydraulic pump,2023-06-23 00:00:00
FRE030101,FRE030101T70,Bomba hidráulica,"Reparación o sustitución de elementos pertenecientes a la Bomba hidráulica de la HPU como motor, cuerpo de bomba, escobillas de motor, etc…  ",FRE030101T70,Hydraulic pump,"Repair or replacement of elements belonging to the HPU hydraulic pump such as the motor, pump body, motor brushes, etc...  ",2023-06-23 00:00:00
FRE030101,FRE030101T71,Bomba hidráulica,Sustitución y reparación posterior Bomba hidráulica de HPU,FRE030101T71,Hydraulic pump,Replacement and subsequent repair of the HPU hydraulic pump,2023-06-23 00:00:00
FRE030102,FRE030102T16,Presostato de seguridad,Regulación de tarado de Presostatos en HPU,FRE030102T16,Safety pressure switch,Adjustment of the setting of pressure switches on the HPU,
FRE030102,FRE030102T62,Presostato de seguridad,Sustitución y desecho de Presostatos en HPU por no ser reparable,FRE030102T62,Safety pressure switch,Replacement and disposal of pressure switches on the HPU that are beyond repair,2023-06-23 00:00:00
FRE030102,FRE030102T71,Presostato de seguridad,Sustitución y reparación posterior de Presostatos en HPU,FRE030102T71,Safety pressure switch,Replacement and subsequent repair of pressure switches on the HPU,2023-06-23 00:00:00
FRE030103,FRE030103T62,Válvula de regulación,Sustitución y desecho de Válvula de regulación en HPU por no ser reparable,FRE030103T62,Regulating valve,Replacement and disposal of Regulating valve on the HPU that are beyond repair,2023-06-23 00:00:00
FRE030103,FRE030103T70,Válvula de regulación,Reparación o sustitución de elementos pertenecientes a Válvula de regulación.,FRE030103T70,Regulating valve,Repair or replacement of elements belonging to the Regulating valve.,2023-06-23 00:00:00
FRE030103,FRE030103T71,Válvula de regulación,Sustitución y desecho de la válvula de Regulación en HPU por no ser reparable,FRE030103T71,Regulating valve,Replacement and disposal of the control valve on the HPU that is beyond repair,2023-06-23 00:00:00
FRE030104,FRE030104T70,Aparellaje eléctrico,"Reparación de cableado y sujeciones, regletas, conectores, pines, etc...interno en HPU",FRE030104T70,Electric switchgear,"Repair of internal wiring and fixing, terminal blocks, connectors, pins, etc, in the HPU",2023-06-23 00:00:00
FRE030105,FRE030105T62,Control de freno hidráulico(Valvulería),Sustitución y desecho de valvulería de Control de freno hidráulico en HPU por no ser reparable,FRE030105T62,Hydraulic Brake Control (Valves),Replacement and disposal of the valves of the Hydraulic Brake Control in the HPU that is beyond repair.,2023-06-23 00:00:00
FRE030105,FRE030105T70,Control de freno hidráulico(Valvulería),"Reparación o sustitución de elementos pertenecientes al Control de freno hidráulico (Valvulería) de la HPU como valvuleria, transductores, tomas de control, racores, juntas, etc…",FRE030105T70,Hydraulic Brake Control (Valves),"Repair or replacement of elements belonging to the Hydraulic Brake Control (Valves) of the HPU such as valves transducers, control connectors, fittings, joints, etc...",2023-06-23 00:00:00
FRE0302,FRE0302T70,Depósitos de aceite/acumulador,"Reparación o sustitución de elementos pertenecientes a Depósitos de aceite o acumuladores como racores, bridas, tornillería, sujeciones, tomas, etc…",FRE0302T70,Oil tanks/reservoir,"Repair or replacement of elements belonging to the oil tanks or accumulators such as fittings, clamps, fasteners, fixings, connectors, etc...",
FRE0302,FRE0302T71,Depósitos de aceite/acumulador,Sustitución y reparación posterior de Depósitos de aceite o acumuladores,FRE0302T71,Oil tanks/reservoir,Replacement and subsequent repair of the oil tanks or accumulators,
FRE0303,FRE0303T16,Presostato de seguridad,Regulación de tarado de Presostatos en HPU,FRE0303T16,Safety pressure switch,Adjustment of the setting of pressure switches on the HPU,2023-06-23 00:00:00
FRE0303,FRE0303T62,Presostato de seguridad,Sustitución y desecho de Presostatos en HPU por no ser reparable,FRE0303T62,Safety pressure switch,Replacement and disposal of pressure switches on the HPU that are beyond repair,2023-06-23 00:00:00
FRE0303,FRE0303T70,Tubería hidráulica (latiguillos y racores),"Reparación o sustitución de elementos pertenecientes a la tubería de hidráulica como tubería rígida, tubería flexible, bridas de sujeción, tornillería, etc…",FRE0303T70,Hydraulic piping (hoses and fittings),"Repair or replacement of elements belonging to the hydraulic pipes such as  rigid pipe, flexible pipe, clamps, fasteners, etc...",2023-06-23 00:00:00
FRE0303,FRE0303T71,Presostato de seguridad,Sustitución y reparación posterior de Presostatos en HPU,FRE0303T71,Safety pressure switch,Replacement and subsequent repair of pressure switches on the HPU,2023-06-23 00:00:00
FRE0304,FRE0304T62,Válvula de regulación,Sustitución y desecho de la válvula de Regulación en HPU por no ser reparable,FRE0304T62,Regulation valve,Replacement and disposal of the control valve on the HPU that is beyond repair,2023-06-23 00:00:00
FRE0305,FRE0305T70,Tubería circuito de servicio,"Reparación o sustitución de elementos pertenecientes a la tubería de servicio como tubería rígida, tubería flexible, bridas de sujeción, tornillería, etc…",FRE0305T70,Service circuit piping ,"Repair or replacement of elements belonging to the service pipes such as  rigid pipe, flexible pipe, clamps, fasteners, etc...",2023-06-23 00:00:00
FRE0306,FRE0306T70,Tubería circuito de asistencia,"Reparación o sustitución de elementos pertenecientes a la tubería de asistencia o emergencia como, tubería rígida, tubería flexible, bridas de sujeción, tornillería, etc…",FRE0306T70,Assistance circuit piping,"Repair or replacement of elements belonging to the emergency or assistance pipes such as rigid pipe, flexible pipe, clamps, fasteners, etc...",2023-06-23 00:00:00
FRE0307,FRE0307T70,Juntas y racores hidráulicos,Sustitución de juntas y racores en tubería  de servicio y asistencia,FRE0307T70,Seals and hydraulic fittings,Replacement of joints and fittings on service and assistance pipes,2023-06-23 00:00:00
FRE0309,FRE0309T70,Aparellaje eléctrico,"Reparación de cableado y sujeciones, regletas, conectores, pines, etc...interno en HPU",FRE0309T70,Electrical gear,"Repair of internal wiring and fixing, terminal blocks, connectors, pins, etc, in the HPU",2023-06-23 00:00:00
FRE0310,FRE0310T70,Control de freno hidráulico(Valvulería),"Reparación o sustitución de elementos pertenecientes a la Bomba hidráulica (HPU) como valvuleria, transductores, tomas de control, racores, juntas, etc…",FRE0310T70,Hydraulic brake control (Valves),"Repair or replacement of elements belonging to the hydraulic pump (HPU) such as valves transducers, control connectors, fittings, joints, etc...",2023-06-23 00:00:00
FRE0310,FRE0310T71,Control de freno hidráulico(Valvulería),Sustitución y reparación posterior de HPU debido a un fallo en la valvuleria,FRE0310T71,Hydraulic brake control (Valves),Replacement and subsequent repair of the HPU due to a fault in the valves.,2023-06-23 00:00:00
FRE0311,FRE0311T16,Sensor de peso,Regulación de Sensor de peso en bogie,FRE0311T16,Weight sensor,Adjustment of the weight sensor on the bogie,
FRE0311,FRE0311T62,Sensor de peso,Sustitución y desecho de Sensor de peso en bogie por no ser reparable,FRE0311T62,Weight sensor,Replacement and disposal of the weight sensor on the bogie that is beyond repair,
FRE031201,FRE031201T62,    Fuelle,Sustitución y desecho de Fuelle o guarda polvos en Cilindro de freno hidraulico,FRE031201T62,Cylinder fixing,Replacement and disposal of the bellows or dust guard on the hydraulic brake cylinder,
FRE031202,FRE031202T62,    Mangas,Sustitución y desecho de Manga de conexión de circuito hidraulico a Cilindro de freno hidraulico,FRE031202T62,Cables,Replacement and disposal of the hydraulic circuit to the hydraulic brake cylinder connection hose,
FRE031202,FRE031202T70,    Mangas,"Reparación o sustitución de elementos perteneceintes a la Manga de conexión de circuito hidraulico a Cilindro de freno hidraulico como juntas, racores, arandelas cónicass, etc…  Se incluye reapriete",FRE031202T70,Cables,"Repair or replacement of elements belonging to the hydraulic circuit to the hydraulic brake cylinder connection hose such as joints, fittings, cónicasl washers, etc... Includes retightening",
FRE031203,FRE031203T62,    Guarniciones,Susitucion de Guraniciones en Cilindro de freno hidraulico por fin de vida util o daños irreparable,FRE031203T62,Brake pad,Replacement of brake pads on hydraulic brake cylinder due to end of useful life or irreparable damage,
FRE031204,FRE031204T70,    Timonería,"Reparación o sustitución de elementos pertenecientes a Timoneria o Pinzas de freno y porta pastillas en Cilindro de freno hidraulico como bulones, pasadores, tornillería de sujeción, etc…  
Se incluye reaprietes de tornillería y engrase de elementos",FRE031204T70,Rigging,"Repair or replacement of elements belonging to the brake rigging or calipers and pad holder on the hydraulic brake cylinder such as bolts, pins, fasteners, etc... 
Includes retightening fasteners and lubrication of parts",
FRE031204,FRE031204T71,    Timonería,Sustitución y reparación posterior de Timoneria o pinza de freno y porta pastilla en Cilindro de freno hidraulico,FRE031204T71,Rigging,Replacement or subsequent repair of brake rigging or caliper and pad holder on the hydraulic brake cylinder,
FRE031205,FRE031205T70,    Cilindros sin freno de estacionamiento,"Reparación o sustitución de elementos pertenecientes a los Cilindros sin freno hidraulico de estacionamiento como racores, bulones, pasadores, tornillería de sujeción, etc…  Se incluye reaprietes de tornillería",FRE031205T70,Brake calliper without parking brake,"Repair or replacement of elements belonging to the cylinders without hydraulic parking brake such as fittings, bolts, pins, fasteners, etc...
Includes retightening the fasteners",
FRE031205,FRE031205T71,    Cilindros sin freno de estacionamiento,Sustitución y reparación posterior de Cilindro sin freno hidraulico de estacionamiento  Solo cilindro  Timoneria en FRE0312,FRE031205T71,Brake calliper without parking brake,Replacement and subsequent repair of cylinder without hydraulic parking brake  Cylinder only  Rigging in FRE0312,
FRE031206,FRE031206T70,    Cilindros con freno de estacionamiento,"Reparación o sustitución de elementos pertenecientes a los Cilindros con freno hidraulico de estacionamiento como racores, bulones, pasadores, tornillería de sujeción, etc…  
Se incluye reaprietes de tornillería  
Solo cilindro  
Timoneria en FRE0312",FRE031206T70,Brake calliper with parking brake,"Repair or replacement of elements belonging to the cylinders with hydraulic parking brake such as fittings, bolts, pins, fasteners, etc...
Includes retightening the fasteners 
Cylinder only  
Rigging in FRE0312",
FRE031206,FRE031206T71,    Cilindros con freno de estacionamiento,Sustitución y reparación posterior de Cilindro con freno hidraulico de estacionamiento,FRE031206T71,Brake calliper with parking brake,Replacement and subsequent repair of the cylinder with hydraulic parking brake,
FRE031207,FRE031207T70,    Dispositivos de desbloqueo,"Reparación o sustitución de elementos pertenecientes al Dispositivo de desbloqueo de Cilindros con freno hidraulico como bulones, palancas, pasadores, tornillería, muelles, sujeciones, guarda polvos, etc…  
Se incluye reaprietes de tornillería y engrase de elementos",FRE031207T70,Release devices,"Repair or replacement of elements belonging to the release device of cylinders with hydraulic brake such as bolts, levers, pins, fasteners, springs, fixings, dust guards, etc... Includes retightening of fasteners and lubrication of parts",
FRE031207,FRE031207T71,    Dispositivos de desbloqueo,Sustitución y reparación posterior de Dispositivo de desbloqueo en Cilindros con freno hidraulico,FRE031207T71,Release devices,Replacement and subsequent repair of the release device on cylinders with hydraulic brake,
FRE031208,FRE031208T16,    Cables y tiradores de desbloqueo,Regulación de accionamiento de desbloqueo mediante ajuste en Cables y tiradores de desbloqueo en Cilindros con freno hidraulico,FRE031208T16,Release cables and handles,Adjustment of the release action by means of adjustment of cables and release handles on cylinders with hydraulic brake,
FRE031208,FRE031208T62,    Cables y tiradores de desbloqueo,Sustitución y desecho de Cables y tiradores de desbloqueo de Cilindro con freno hidraulico por no ser reparable,FRE031208T62,Release cables and handles,Replacement and disposal of release cables and handles of cylinder with hydraulic brake that are beyond repair,
FRE031208,FRE031208T70,    Cables y tiradores de desbloqueo,"Reparación o sustitución de elementos pertenecientes al Sistema de desbloqueo de Cilindros con freno hidraulico como sirgas, manetas, muelles, tornillería, fijaciones, bridas, etc…  Se incluye reaprietes de tornillería y engrase de elementos",FRE031208T70,Release cables and handles,"Repair or replacement of elements belonging to the release system of cylinders with hydraulic brake such as cables, handles, springs, fasteners, fixings, clamps, etc... Includes retightening of fasteners and lubrication of parts",
FRE04,FRE04T70,Electroválvulas antibloqueo,"Reparación o sustitución de elementos pertenecientes a Electroválvulas de antibloqueo como finales de carrera, juntas, muelles, sujeciones, cableado interno, bobina, etc…  
Se incluyen limpieza o engrase de elementos de Electroválvula",FRE04T70,Slip/slide valve,"Repair or replacement of elements belonging to the wheel slide solenoid valves, such as limit switches, joints, springs, fixings, internal wiring, coil, etc...
Includes cleaning or lubrication of solenoid valve elements",
FRE04,FRE04T71,Electroválvulas antibloqueo,Sustitución y reparación posterior de Electroválvulas de antibloqueo  El cableado y conector aereo se define en CAJ22,FRE04T71,Slip/slide valve,"Replacement and subsequent repair of wheel slide solenoid valves  
The wiring and flying connector are defined in CAJ22",
FRE04,FRE04T79,Electroválvulas antibloqueo,Denuncias de fallos en el funcionamiento de Electroválvulas antibloqueo sin encontrar anomalía despues de la revision y comprobacion pertinente.,FRE04T79,Slip/slide valve,Reports of failures in the functionality of Slip/slide valves without finding an anomaly after the relevant inspection and check.,
FRE05,FRE05no,Frenos especiales,,FRE05no,Special brakes,,
FRE0501,FRE0501no,Freno EP 252,,FRE0501no,E.P 252 brake,,
FRE0502,FRE0502no,Conectores-Mangueras,,FRE0502no,Connectors-Hoses,,
FRE0503,FRE0503no,Aparellaje eléctrico,,FRE0503no,Electrical gear,,
FRE06,FRE06T79,Freno en rueda neumático,"Denuncias de fallos en el funcionamiento de elementos pertenecientes al Freno en rueda neumático como Cuerpo y sujeción bloques, Mangas, Zapatas, Timoneria, cilindros,  Dispositivos de desbloqueo y cables y tiradores de desbloqueo sin encontrar anomalía despues de la revision y comprobacion pertinente.",FRE06T79,Wheel pneumatic brake,"Reports of failures in the functionality of parts belonging to Wheel pneumatic brake such as Braking block, Hoses, Shoes, Rigging, Callipers, Release devices and Release cables and handles without finding an anomaly after the relevant inspection and check.",
FRE0601,FRE0601T70,Cuerpo y sujeción bloques,"Reparación o sustitución de elementos pertenecientes a Cilindros de freno neumático en rueda como racores, tornillería, sujeciones, etc…    
Se incluye reapriete de tornillería",FRE0601T70,Braking block,"Repair or replacement of elements belonging to the pneumatic brake cylinders on the wheel such as fittings, fasteners, fixings, etc...
Includes retightening of fasteners",
FRE0602,FRE0602T62,Mangas,Sustitución y desecho de Manga de conexión de circuito neumático de bogie a Cilindro de freno neumático en rueda,FRE0602T62,Hoses,Replacement and disposal of the bogie's pneumatic circuit to the pneumatic brake cylinder connection hose on the wheel,
FRE0603,FRE0603T62,Zapatas,Susitucion de zapata de Cilindro de freno neumático en rueda por fin de vida util o daños irreparable,FRE0603T62,Shoes,Replacement of pneumatic brake cylinder shoe on the wheel due to end of useful life or irreparable damage,
